姓名,位置,年龄,ca,pa,国籍,俱乐部,角球,传中,盘带,射门,接球,任意球,头球,远射,界外球,盯人,传球,罚点球,抢断,技术,侵略性,预判,勇敢,镇定,集中,决断,意志力,想象力,领导力,无球跑动,防守站位,团队合作,视野,工作投入,爆发力,灵活,平衡,弹跳,体质,速度,耐力,强壮,稳定,肮脏,大赛,伤病,多样,制空能力,拦截传中,沟通,神经指数,手控球,大脚开球,一对一,反应,出击,击球倾向,手抛球的能力,适应性,雄心,争论,忠诚,抗压能力,职业,体育道德,情绪控制,GK,DL,DC,DR,WBL,WBR,DM,ML,MC,MR,AML,AMC,AMR,ST,身高,左脚,右脚,身价（欧元）,当前声望,本国声望,世界声望,种族,RCA,肤色,出生日期,国家队出场,国家队进球,工资（欧元）,UID,防守,身体,速度,创造,进攻,技术,制空,精神,拦截射门,身体,速度,精神,指挥防守,意外性,制空,大脚,球员习惯,二维码&球员名片&扫码填写评价,球员习惯,二维码&球员名片&扫码填写评价
Sergi Darder,DM/M C,31,149,155,Spain,Mallorca,14,13,11,7,16,12,9,12,5,13,16,13,14,16,13,14,13,13,14,14,15,14,10,15,14,13,17,13,13,13,13,10,12,12,13,12,13,10,12,7,11,2,3,2,2,2,1,1,3,1,2,3,12,15,7,12,16,15,11,12,1,1,1,1,1,1,18,1,20,1,1,1,1,1,180,12,20,"£19,173,548",7250,7250,5750,MediterraneanHispanic,148,6,1993/12/22,0,0,"£43,233",67118372,13.67 ,12.75 ,12.50 ,15.67 ,11.67 ,14.33 ,9.50 ,13.83 ,2.00 ,12.75 ,12.50 ,13.83 ,2.50 ,2.00 ,2.00 ,2.00 ,,#NAME?,,
Dodo,D/WB R,26,149,154,Brazil,ACF Fiorentina,9,14,16,8,14,8,7,8,14,13,14,8,13,15,14,13,12,12,12,13,13,14,8,13,13,15,13,15,16,16,14,7,15,16,15,11,14,13,16,9,15,3,4,2,2,1,3,1,3,2,1,2,15,15,6,11,12,13,7,14,1,1,1,20,1,19,1,1,1,15,1,1,9,1,166,10,20,"£24,180,396",7450,5800,5500,MediterraneanHispanic,141,12,1998/11/17,0,0,"£31,909",19273277,13.00 ,14.00 ,16.00 ,13.67 ,11.00 ,15.00 ,7.00 ,13.00 ,2.00 ,14.00 ,16.00 ,13.00 ,3.00 ,2.00 ,2.00 ,2.50 ,"沿右路带球突进
有机会就前插",#NAME?,,
David Raum,D/WB L,27,149,152,Germany,RB Leipzig,15,17,12,8,12,16,8,11,15,11,12,12,12,12,16,13,16,12,12,12,17,12,15,16,11,16,13,17,15,13,12,11,17,16,17,13,14,15,14,4,12,3,2,2,1,3,1,2,1,1,3,1,13,15,8,8,12,16,8,8,1,20,10,10,20,10,1,15,1,10,12,1,10,8,181,20,8,"£31,634,508",7400,7400,5900,NorthernEuropean,141,3,1998/4/22,28,0,"£91,155",91175517,11.33 ,13.75 ,15.50 ,12.33 ,12.00 ,12.00 ,9.50 ,14.33 ,1.50 ,13.75 ,15.50 ,14.33 ,2.00 ,1.00 ,3.00 ,1.00 ,"有机会就前插
弧线球射门",#NAME?,,
Sam Beukema,D C,26,149,152,Netherlands,Parthenope,4,10,9,8,11,7,15,10,8,16,14,11,14,12,15,14,16,14,15,13,16,9,12,11,15,16,12,15,13,12,15,15,14,14,15,16,15,5,13,5,10,3,3,2,1,1,3,1,3,1,3,3,16,15,3,15,11,15,11,12,1,1,20,1,1,1,1,1,1,1,1,1,1,1,188,8,20,"£28,816,972",7450,6300,5750,NorthernEuropean,149,2,1998/11/17,0,0,"£53,348",37063774,15.00 ,14.50 ,13.50 ,11.67 ,11.00 ,10.67 ,15.00 ,15.00 ,2.00 ,14.50 ,13.50 ,15.00 ,2.50 ,1.00 ,2.00 ,3.00 ,"经常尝试传身后球
大力射门
鼓动观众情绪
长距离传球",#NAME?,,
Weston McKennie,DM/M RC,26,149,152,United States,Juventus,5,12,12,12,12,6,16,10,19,13,14,8,14,12,15,14,16,14,10,11,17,12,13,14,14,16,13,16,13,13,16,14,18,12,17,15,16,12,16,10,19,4,2,1,2,1,2,3,1,1,3,3,17,14,13,10,13,10,15,12,1,12,8,10,14,15,17,14,20,14,9,15,12,1,180,11,20,"£24,537,122",7450,7500,6050,MixedRace,140,12,1998/8/28,60,11,"£53,348",72048035,13.67 ,15.25 ,12.50 ,13.00 ,13.33 ,12.00 ,15.00 ,14.00 ,2.00 ,15.25 ,12.50 ,14.00 ,1.50 ,2.00 ,2.50 ,2.50 ,"插入对方禁区
跑肋部空间接球
习惯简单短传配合
倒地铲球",#NAME?,,
Giovani Lo Celso,M/AM LC,29,149,151,"Argentina,Italy",Real Hispalis,14,12,15,12,17,15,10,13,7,9,17,15,11,17,10,13,11,15,12,13,12,16,10,14,12,15,16,10,13,15,15,8,12,12,13,11,12,11,12,14,12,1,1,1,1,1,1,1,3,1,1,3,12,12,6,14,13,12,12,14,1,1,1,1,1,1,14,18,18,7,14,20,7,1,177,20,11,"£43,918,988",7450,7250,6700,MediterraneanHispanic,147,5,1996/4/9,61,3,"£100,000",14108651,10.67 ,13.50 ,12.50 ,16.33 ,13.67 ,16.33 ,9.00 ,12.67 ,2.00 ,13.50 ,12.50 ,12.67 ,1.00 ,1.00 ,1.00 ,2.00 ,角度刁钻的射门,#NAME?,,
Wataru Endo,D/DM/M C,32,149,151,Japan,Liverpool,4,7,11,7,13,5,15,7,8,14,14,11,16,13,15,17,16,15,16,14,17,6,15,13,15,19,13,17,13,14,15,14,17,12,16,12,17,8,16,7,13,1,1,3,2,1,1,2,2,2,1,2,18,15,2,17,19,20,17,18,1,1,16,13,1,1,20,1,16,1,1,1,1,1,178,8,20,"£22,066,026",7500,8000,6250,EastAsian,147,7,1993/2/9,70,4,"£95,000",45030953,15.00 ,14.25 ,12.50 ,11.00 ,11.67 ,12.33 ,14.50 ,16.50 ,2.00 ,14.25 ,12.50 ,16.50 ,2.00 ,2.00 ,1.00 ,1.50 ,"习惯简单短传配合
避免使用弱势脚",#NAME?,,
Fabian Schär,D C,33,149,149,Switzerland,Newcastle United,6,9,12,11,15,12,15,12,8,16,16,14,16,13,17,15,15,16,14,13,12,9,11,9,15,16,15,12,11,10,12,14,12,13,13,15,15,15,14,10,4,2,4,2,2,2,1,2,2,3,1,3,10,13,6,12,14,15,14,16,1,1,20,10,1,1,13,1,1,1,1,1,1,1,188,12,20,"£10,129,192",7450,7100,6100,NorthernEuropean,149,5,1991/12/20,86,8,"£90,000",98007212,15.67 ,12.50 ,12.00 ,13.33 ,12.00 ,13.33 ,14.50 ,14.17 ,2.00 ,12.50 ,12.00 ,14.17 ,3.00 ,2.00 ,2.00 ,2.00 ,"中路带球突进
有机会就前插
长距离传球
喜欢将球转移到边路
把球带出防守区域",#NAME?,,
Solly March,WB/M/AM RL,31,149,149,England,Brighton & Hove Albion,13,15,15,12,14,13,8,14,4,8,13,10,12,14,9,12,11,13,14,15,14,13,8,13,13,16,12,16,14,13,13,10,12,14,15,10,15,6,15,12,17,1,1,1,1,3,2,3,1,3,2,2,15,13,5,12,14,18,8,13,1,12,1,11,17,17,1,17,11,17,15,14,20,1,180,20,8,"£21,456,932",7450,7000,5750,NorthernEuropean,142,5,1994/7/20,0,0,"£57,000",29090530,11.00 ,12.75 ,14.00 ,12.67 ,12.67 ,14.33 ,9.00 ,13.67 ,2.00 ,12.75 ,14.00 ,13.67 ,1.00 ,1.00 ,2.00 ,2.00 ,从右路内切,#NAME?,,
Manuel Neuer,GK ,39,148,193,Germany,FC Bayern München,2,6,12,7,14,8,10,7,12,9,15,13,11,14,13,14,14,16,12,13,18,12,17,12,14,15,15,15,8,14,14,16,20,8,11,15,13,8,16,14,5,15,12,14,18,14,17,15,13,20,10,17,8,16,13,18,18,15,12,18,20,1,1,1,1,1,1,1,1,1,1,1,1,1,193,12,20,"£3,715,873",7750,8250,7750,NorthernEuropean,150,2,1986/3/27,123,0,"£298,328",8718372,11.33 ,13.50 ,8.00 ,14.00 ,11.67 ,13.33 ,13.00 ,14.33 ,14.00 ,13.50 ,8.00 ,14.33 ,13.00 ,18.00 ,14.50 ,17.00 ,"利用脚下技术将球带出危险区
倾向于尽可能长地延续自己的职业生涯（隐藏习惯）
喜欢通过长距离手抛球发起防守反击",#NAME?,,
Benjamin Šeško,ST ,22,148,170,"Slovenia,Bosnia and Herzegovina",Manchester United,3,7,14,14,13,10,15,14,8,7,12,17,8,14,13,14,14,12,12,13,15,14,10,14,7,12,11,14,14,14,15,17,16,16,15,15,13,10,12,5,8,2,2,1,3,2,3,3,2,3,1,1,13,19,8,8,12,13,10,10,1,1,1,1,1,1,1,1,1,1,12,14,12,20,195,12,20,"£78,182,664",7500,7200,7000,NorthernEuropean,148,2,2003/5/31,41,16,"£230,000",62246208,7.33 ,14.75 ,15.00 ,12.33 ,13.33 ,13.67 ,16.00 ,13.33 ,2.50 ,14.75 ,15.00 ,13.33 ,1.50 ,3.00 ,2.00 ,2.00 ,"大力射门
喜欢盘过门将后射门
用外脚背",#NAME?,,
Keylor Navas,GK ,38,148,167,"Costa Rica,Spain",Pumas de la UNAM,5,3,1,1,10,8,9,2,3,3,10,4,1,8,11,14,15,13,17,15,16,8,12,2,14,14,8,15,11,15,14,12,14,13,14,13,15,4,17,9,13,10,15,14,4,11,14,15,16,12,16,14,14,15,3,16,15,18,16,19,20,1,1,1,1,1,1,1,1,1,1,1,1,1,185,8,20,"£2,913,208",7550,7550,6750,MediterraneanHispanic,148,10,1986/12/15,114,0,"£30,858",8826969,6.00 ,14.00 ,12.00 ,8.67 ,5.33 ,6.33 ,10.50 ,15.17 ,15.50 ,14.00 ,12.00 ,15.17 ,14.50 ,4.00 ,10.50 ,14.00 ,,#NAME?,,
Pau Torres,D C,28,148,167,Spain,Aston Villa,7,8,12,6,14,5,16,7,7,14,16,8,16,15,12,14,14,15,14,13,13,5,12,6,15,14,13,15,12,11,10,17,14,14,16,16,15,6,12,12,8,2,1,3,2,1,2,3,2,3,2,4,13,16,4,17,10,14,14,13,1,1,20,1,1,1,12,1,1,1,1,1,1,1,191,20,9,"£46,530,000",7400,7750,6500,MediterraneanHispanic,148,2,1997/1/16,24,1,"£130,000",67217522,15.00 ,13.25 ,13.00 ,11.33 ,9.00 ,13.67 ,16.50 ,13.67 ,2.50 ,13.25 ,13.00 ,13.67 ,2.00 ,2.00 ,1.50 ,3.00 ,,#NAME?,,
Nico González,DM/M C,23,148,166,Spain,Manchester City,6,8,14,11,16,8,12,10,5,11,16,8,13,16,15,14,9,17,12,14,14,14,11,12,14,14,15,13,12,13,16,13,15,12,14,14,15,11,15,8,15,1,1,3,2,2,2,2,3,1,2,3,11,16,4,16,14,16,12,14,1,1,1,1,1,1,18,1,20,1,1,15,1,1,188,14,20,"£66,925,000",7400,6950,6000,MediterraneanHispanic,147,5,2002/1/3,0,0,"£150,000",67276127,12.67 ,14.25 ,12.00 ,15.00 ,13.33 ,15.33 ,12.50 ,12.83 ,2.50 ,14.25 ,12.00 ,12.83 ,2.00 ,2.00 ,1.50 ,2.50 ,"回撤拿球
撞墙式配合
控制节奏
倒地铲球
喜欢将球转移到边路",#NAME?,,
"João Pedro(Chelsea,Brazil)",AM/ST RLC,23,148,165,Brazil,Chelsea,11,12,15,14,15,11,11,12,6,6,14,18,7,14,15,14,12,15,13,13,15,15,11,15,7,14,14,16,15,14,14,11,14,14,14,13,14,6,15,5,11,3,3,3,2,2,1,4,1,1,1,1,13,14,12,10,15,14,10,8,1,1,1,1,1,1,1,12,8,12,18,20,18,19,182,8,20,"£94,488,997",7400,7400,6250,MixedRace,142,15,2001/9/26,1,0,"£80,000",19371552,6.67 ,13.75 ,14.50 ,14.33 ,14.67 ,14.67 ,11.00 ,13.50 ,2.50 ,13.75 ,14.50 ,13.50 ,3.00 ,2.00 ,2.50 ,1.00 ,"撞墙式配合
利用脚下技术将球带出危险区
尝试花式动作
不喜欢倒地铲球
经常带球",#NAME?,,
Conor Gallagher,M/AM LC,25,148,164,"England,Scotland,Republic of Ireland",A. Madrid,12,12,13,14,13,12,8,12,6,9,13,7,13,13,17,11,15,13,14,14,17,12,11,14,12,16,13,19,15,14,11,10,16,13,17,11,13,8,11,4,8,1,3,2,3,1,2,2,1,4,3,2,8,13,5,13,14,15,9,14,1,1,1,1,1,1,15,18,20,12,10,16,8,1,182,12,20,"£35,302,848",7400,7450,6500,NorthernEuropean,142,7,2000/2/6,22,1,"£77,778",28108036,11.33 ,13.25 ,14.00 ,12.67 ,13.67 ,13.00 ,9.00 ,14.50 ,1.50 ,13.25 ,14.00 ,14.50 ,2.50 ,3.00 ,1.00 ,2.00 ,"中路带球突进
插入对方禁区
经常带球",#NAME?,,
Ousmane Diomande,D C,21,148,164,Ivory Coast,Sporting Clube de Portugal,4,8,11,8,12,4,16,10,9,17,14,5,12,13,15,15,9,14,13,13,14,11,12,7,13,13,11,12,13,10,16,17,18,15,14,17,14,13,16,5,12,2,3,3,2,1,1,1,1,2,3,1,20,15,5,12,14,15,16,12,1,1,20,12,1,1,14,1,1,1,1,1,1,1,190,11,20,"£69,136,544",7400,7000,6000,AfricanCaribbean,145,19,2003/12/4,9,0,"£25,523",2000160511,14.00 ,14.25 ,14.00 ,12.00 ,9.67 ,12.00 ,16.50 ,12.83 ,1.00 ,14.25 ,14.00 ,12.83 ,3.00 ,2.00 ,1.50 ,1.00 ,,#NAME?,,
Pedro Porro,D/WB/M R,25,148,164,Spain,Tottenham Hotspur,13,15,15,11,15,13,8,14,11,12,16,12,13,15,15,11,17,12,11,12,16,17,8,15,11,12,15,13,16,15,13,8,17,15,15,12,14,16,14,6,15,1,1,1,2,1,1,2,2,3,2,2,16,15,13,9,14,13,7,11,1,9,1,19,9,20,1,1,1,17,1,1,14,1,176,8,20,"£43,945,000",7400,7400,6250,MediterraneanHispanic,146,9,1999/9/13,10,0,"£112,000",67268221,12.00 ,13.75 ,15.50 ,16.00 ,12.67 ,15.00 ,8.00 ,13.17 ,2.00 ,13.75 ,15.50 ,13.17 ,1.00 ,2.00 ,1.00 ,1.50 ,"有机会就前插
远射",#NAME?,,
Nicolas Jackson,ST RLC,24,148,162,"Senegal,The Gambia",Chelsea,8,9,15,13,13,8,13,12,6,8,12,13,9,14,16,15,16,13,12,12,14,14,8,15,8,12,12,16,16,14,14,14,12,16,15,14,12,14,12,12,5,2,2,3,1,1,1,3,2,2,2,3,13,14,10,10,8,10,6,6,1,1,1,1,1,1,1,12,1,12,15,15,15,20,187,9,20,"£53,500,000",7400,7300,6400,AfricanCaribbean,145,17,2001/6/20,19,1,"£120,000",12087972,8.33 ,14.25 ,16.00 ,12.67 ,13.67 ,14.00 ,13.50 ,13.50 ,2.50 ,14.25 ,16.00 ,13.50 ,2.50 ,1.00 ,1.50 ,2.00 ,"跑肋部空间接球
喜欢盘过门将后射门
乐于反越位",#NAME?,,
Marc Casadó,DM/M C,21,148,160,Spain,Barcelona,8,9,12,8,14,8,7,10,8,12,15,8,15,14,16,16,16,14,16,16,18,9,13,11,15,18,14,18,12,15,12,6,14,12,14,9,14,8,13,5,15,2,2,1,3,4,1,3,1,2,3,3,12,15,5,18,16,17,14,15,1,8,1,14,8,12,20,6,16,10,1,1,1,1,173,12,20,"£60,667,314",7400,7400,6400,MediterraneanHispanic,147,5,2003/9/14,2,0,"£18,813",2000058198,14.00 ,12.50 ,12.00 ,12.67 ,11.00 ,13.33 ,6.50 ,16.67 ,2.00 ,12.50 ,12.00 ,16.67 ,1.50 ,3.00 ,3.00 ,2.00 ,"回撤拿球
利用脚下技术将球带出危险区
倒地铲球
喜欢将球转移到边路",#NAME?,,
Harry Maguire,D C,32,148,158,England,Manchester United,5,7,10,8,14,8,17,7,10,15,13,14,15,13,14,14,17,13,14,12,11,9,15,7,16,14,12,12,10,8,13,17,17,12,17,17,12,12,13,6,8,1,2,2,2,4,2,1,2,1,2,2,16,15,5,13,11,16,14,17,1,1,20,10,1,1,1,1,1,1,1,1,1,1,194,13,20,"£18,061,288",7400,7500,6600,NorthernEuropean,148,0,1993/3/5,64,7,"£200,000",28049740,15.33 ,13.75 ,11.00 ,11.33 ,9.33 ,12.33 ,17.00 ,13.67 ,1.50 ,13.75 ,11.00 ,13.67 ,2.00 ,2.00 ,2.50 ,2.00 ,"与裁判争论
长时间控球
避免使用弱势脚
长距离传球
把球带出防守区域",#NAME?,,
Julian Brandt,M/AM RLC,29,148,158,Germany,Borussia Dortmund,14,14,15,12,17,15,7,14,6,8,16,12,8,17,8,14,10,16,12,13,10,16,12,12,8,12,17,9,12,14,12,10,12,14,15,10,12,3,12,10,15,1,2,3,1,3,2,1,2,3,3,2,6,12,4,16,8,12,17,20,1,1,1,1,1,1,14,12,18,12,15,20,15,10,185,12,20,"£15,999,061",7100,7250,6250,NorthernEuropean,145,1,1996/5/2,48,3,"£124,304",91119265,8.00 ,12.75 ,13.00 ,16.33 ,13.33 ,16.33 ,8.50 ,11.83 ,1.50 ,12.75 ,13.00 ,11.83 ,2.50 ,1.00 ,2.00 ,2.00 ,"经常尝试传身后球
用外脚背
撞墙式配合",#NAME?,,
Giuliano Simeone,M/AM RL,22,148,157,"Argentina,Italy",A. Madrid,8,12,12,14,12,9,10,10,6,9,12,11,12,12,16,13,17,12,13,12,17,11,13,15,7,16,10,17,15,14,13,10,15,16,15,13,14,13,17,6,14,2,3,2,3,2,3,2,2,3,3,1,17,16,7,15,14,16,10,9,1,1,1,10,8,15,1,12,1,19,18,12,20,14,180,10,20,"£58,766,060",7400,7100,6400,MediterraneanHispanic,139,3,2002/12/18,5,1,"£60,963",14250859,9.33 ,13.75 ,15.50 ,11.00 ,13.67 ,12.00 ,10.00 ,14.67 ,2.00 ,13.75 ,15.50 ,14.67 ,2.50 ,3.00 ,2.00 ,2.00 ,"乐于反越位
趟球变向加速过人",#NAME?,,
Brais Méndez,AM RC,28,148,156,Spain,Real San Sebastián,15,15,13,15,16,16,10,13,10,6,15,11,10,15,9,15,10,16,15,15,15,14,11,15,11,16,15,15,13,15,10,12,13,13,14,11,13,3,12,7,14,2,1,3,2,3,2,1,1,2,3,1,10,10,10,10,10,10,10,10,1,1,1,1,1,1,1,1,15,12,1,18,20,1,187,20,9,"£44,964,684",7400,7400,6550,MediterraneanHispanic,149,4,1997/1/7,4,1,"£59,379",67199158,9.00 ,12.50 ,13.00 ,14.67 ,15.33 ,14.67 ,11.00 ,14.33 ,1.00 ,12.50 ,13.00 ,14.33 ,2.00 ,2.00 ,2.50 ,1.50 ,,#NAME?,,
Alessio Romagnoli,D C,30,148,155,Italy,Capitolini Celesti,4,4,8,9,12,4,17,6,13,15,14,12,15,13,14,13,15,13,12,13,16,5,14,8,15,15,12,15,12,12,15,16,14,13,15,16,14,13,14,11,9,2,2,4,1,2,3,2,1,2,3,3,11,12,4,16,14,17,15,13,1,10,20,1,1,1,1,1,1,1,1,1,1,1,188,20,10,"£300,000,000",7400,6950,6250,MediterraneanHispanic,147,3,1995/1/12,13,2,"£92,403",43093395,15.00 ,14.50 ,12.50 ,10.33 ,10.00 ,11.00 ,16.50 ,14.00 ,1.50 ,14.50 ,12.50 ,14.00 ,3.00 ,1.00 ,2.00 ,3.00 ,"与裁判争论
把球带出防守区域",#NAME?,,
Ezri Konsa,D C,27,148,155,"England,Democratic Republic of Congo,Angola",Aston Villa,4,7,13,5,14,3,15,3,7,14,14,4,16,15,13,15,14,16,13,14,13,10,11,10,14,15,14,16,15,14,14,14,15,14,15,14,14,11,13,9,14,2,3,3,1,3,3,2,3,3,3,3,13,13,3,15,13,15,13,13,1,1,20,14,1,1,1,1,1,1,1,1,1,1,183,10,20,"£46,530,000",7400,7400,6150,AfricanCaribbean,148,14,1997/10/23,12,0,"£105,000",29141827,14.67 ,14.25 ,14.50 ,12.67 ,10.33 ,14.00 ,14.50 ,14.00 ,2.50 ,14.25 ,14.50 ,14.00 ,3.00 ,1.00 ,2.50 ,3.00 ,不喜欢倒地铲球,#NAME?,,
Josip Stanišić,D RLC,25,148,155,"Croatia,Germany",FC Bayern München,6,12,12,8,12,6,14,7,12,14,13,8,15,12,13,13,16,13,15,13,15,11,12,12,14,16,13,15,12,11,14,15,12,15,15,14,16,10,15,13,18,2,2,1,1,3,1,3,2,3,3,1,8,14,6,18,14,16,10,12,1,16,20,18,12,15,12,8,10,10,1,1,1,1,187,12,20,"£23,100,246",7500,7250,6500,NorthernEuropean,144,4,2000/4/2,24,0,"£99,442",91190673,14.33 ,13.50 ,13.50 ,12.33 ,11.00 ,12.00 ,14.50 ,14.67 ,2.50 ,13.50 ,13.50 ,14.67 ,1.50 ,1.00 ,2.50 ,1.00 ,,#NAME?,,
Ollie Watkins,ST RL,29,148,155,England,Aston Villa,8,12,13,15,13,7,14,11,5,6,13,14,7,13,10,15,15,11,12,12,16,13,9,16,9,17,12,19,15,15,12,13,18,14,17,15,13,4,14,5,12,1,4,2,2,4,1,1,1,2,3,3,13,15,6,13,14,18,15,13,1,1,1,1,1,1,1,1,1,1,15,1,15,20,180,10,20,"£51,700,000",7400,7400,6750,AfricanCaribbean,147,14,1995/12/30,18,5,"£130,000",29110623,7.33 ,14.75 ,14.50 ,12.67 ,14.00 ,13.00 ,13.50 ,14.50 ,1.00 ,14.75 ,14.50 ,14.50 ,3.00 ,2.00 ,2.50 ,2.00 ,"跑肋部空间接球
有机会就前插
弧线球射门
乐于反越位
喜欢从双侧内切
第一时间射门",#NAME?,,
Dan Ndoye,AM RL,24,148,154,"Switzerland,Senegal",Nottingham Forest,6,11,15,11,14,4,6,10,5,3,13,10,10,14,13,14,12,11,12,12,14,14,8,13,10,13,11,14,17,17,13,11,16,17,16,11,14,6,13,8,14,1,2,3,3,2,2,3,2,4,2,1,15,15,6,14,11,15,14,12,1,7,1,10,7,14,1,14,1,15,17,10,20,14,184,8,20,"£44,962,668",7400,7500,5750,AfricanCaribbean,142,13,2000/10/25,22,3,"£90,000",84153276,7.67 ,14.25 ,17.00 ,12.67 ,11.67 ,14.33 ,8.50 ,12.83 ,2.50 ,14.25 ,17.00 ,12.83 ,2.50 ,3.00 ,1.50 ,1.50 ,"趟球变向加速过人
在盘带前先将球停至右脚
喜欢从双侧内切
喜欢连续过多人
经常带球",#NAME?,,
Mohamed Amoura,AM/ST L,25,148,153,Algeria,VfL Wolfsburg,11,10,14,14,13,10,15,12,5,6,12,13,7,14,15,13,12,12,11,12,15,15,7,13,6,11,13,15,18,16,12,12,12,17,15,9,13,12,13,12,13,3,1,4,1,3,1,1,3,3,2,3,16,16,13,7,12,8,7,6,1,1,1,1,1,1,1,12,1,10,18,12,12,20,170,8,20,"£28,946,604",7400,7000,5900,NorthAfricanMiddleEastern,139,7,2000/5/9,33,13,"£33,147",2000069643,6.33 ,13.00 ,17.50 ,13.33 ,13.00 ,13.67 ,13.50 ,12.33 ,2.00 ,13.00 ,17.50 ,12.33 ,2.50 ,1.00 ,3.00 ,2.00 ,"乐于反越位
用外脚背
尝试倒勾球
经常带球",#NAME?,,
"Fran García(R. Madrid,Spain)",D/WB L,25,148,152,Spain,R. Madrid,11,13,13,8,10,12,5,11,15,12,12,7,13,13,14,13,16,12,13,12,14,11,12,14,12,16,12,17,16,15,17,5,14,17,16,12,13,9,11,9,11,2,1,1,2,3,3,1,1,3,3,2,13,14,6,13,14,16,14,14,1,20,1,1,19,1,1,15,1,1,12,1,1,1,170,20,8,"£27,290,964",7400,7400,6900,MediterraneanHispanic,139,6,1999/8/14,2,0,"£86,183",67245235,12.33 ,15.00 ,16.50 ,11.67 ,11.33 ,12.00 ,5.00 ,14.00 ,1.00 ,15.00 ,16.50 ,14.00 ,1.00 ,2.00 ,2.50 ,2.50 ,"有机会就前插
拉边",#NAME?,,
Robert Andrich,D/DM/M C,30,148,152,Germany,Bayer 04 Leverkusen,10,8,10,8,13,14,13,16,7,13,15,12,15,13,17,15,16,15,15,13,17,10,13,11,15,17,13,16,11,11,15,13,14,12,16,15,16,17,17,8,13,2,4,2,2,3,3,3,4,2,1,3,10,14,12,12,16,14,7,8,1,1,16,1,1,1,20,1,18,1,1,10,1,8,186,12,20,"£29,679,848",7400,7500,6250,NorthernEuropean,148,4,1994/9/22,18,0,"£91,155",91108805,14.33 ,14.25 ,11.50 ,12.67 ,11.33 ,12.00 ,13.00 ,15.50 ,3.50 ,14.25 ,11.50 ,15.50 ,3.00 ,2.00 ,2.50 ,3.00 ,"激怒对手
与裁判争论",#NAME?,,
Jean-Philippe Mateta,ST ,28,148,150,"France,Democratic Republic of Congo",Crystal Palace,6,8,14,15,13,8,14,9,4,8,11,15,7,13,15,13,14,14,12,11,13,14,11,14,11,14,10,14,15,13,14,16,14,15,14,16,14,9,14,7,5,2,3,2,1,3,1,3,3,2,3,2,14,13,11,7,10,14,12,13,1,1,1,1,1,1,1,1,1,1,1,10,1,20,192,14,20,"£48,400,000",7300,7600,6800,AfricanCaribbean,147,16,1997/6/28,0,0,"£55,000",49034219,8.67 ,14.25 ,15.00 ,11.67 ,14.33 ,13.33 ,15.00 ,12.83 ,3.00 ,14.25 ,15.00 ,12.83 ,2.50 ,1.00 ,2.50 ,1.50 ,"鼓动观众情绪
第一时间射门",#NAME?,,
Maximilian Mittelstädt,D/WB L,28,148,150,Germany,VfB Stuttgart,12,16,13,7,13,11,11,8,15,12,13,11,16,13,12,15,16,13,13,14,16,12,13,13,13,16,13,17,14,13,12,12,14,14,16,12,18,12,13,10,16,2,1,2,2,3,1,4,3,2,2,2,12,16,4,18,16,16,14,14,1,20,12,10,18,10,8,12,8,8,12,1,8,1,180,20,9,"£28,119,562",7400,7400,5900,NorthernEuropean,147,2,1997/3/18,14,1,"£49,721",91143714,13.67 ,13.25 ,14.00 ,12.67 ,11.00 ,13.00 ,11.50 ,15.00 ,3.50 ,13.25 ,14.00 ,15.00 ,1.50 ,2.00 ,2.50 ,1.50 ,撞墙式配合,#NAME?,,
Nadiem Amiri,DM/M C,28,148,150,"Germany,Afghanistan",1. FSV Mainz 05,16,13,15,12,15,17,7,16,6,10,15,15,12,16,16,14,16,15,12,13,17,15,15,13,11,17,16,17,12,13,13,8,16,12,15,13,17,13,15,10,18,1,1,3,2,2,2,2,3,2,2,2,8,12,10,14,15,15,7,8,1,1,1,1,1,8,18,10,20,10,12,15,12,8,180,9,20,"£23,792,476",7250,7400,5750,NorthAfricanMiddleEastern,148,7,1996/10/27,7,0,"£49,721",91143491,11.00 ,13.50 ,12.00 ,15.33 ,13.33 ,15.33 ,7.50 ,14.83 ,2.50 ,13.50 ,12.00 ,14.83 ,2.00 ,2.00 ,1.50 ,2.00 ,"远射
用外脚背
撞墙式配合
鼓动观众情绪
长距离传球",#NAME?,,
Óscar Mingueza,D/WB RLC,26,148,150,Spain,Vigo,5,13,12,11,13,12,14,12,11,13,15,5,13,13,13,15,15,14,12,14,15,13,13,15,13,15,15,16,13,12,14,13,15,14,14,13,13,8,12,7,18,3,3,3,1,3,1,2,1,1,1,3,10,14,5,15,13,15,13,15,1,14,15,19,16,20,14,1,1,11,1,1,1,1,184,10,20,"£25,926,204",7400,7400,6650,MediterraneanHispanic,142,5,1999/5/13,4,0,"£18,811",67245413,13.00 ,13.25 ,13.50 ,14.33 ,13.33 ,12.67 ,13.50 ,14.33 ,1.50 ,13.25 ,13.50 ,14.33 ,3.00 ,1.00 ,3.00 ,2.00 ,"经常尝试传身后球
后排插上进攻
利用脚下技术将球带出危险区
倒地铲球
尽早传中
把球带出防守区域",#NAME?,,
